Column1,name,username,verified,followers,description
2531,The BMA,TheBMA,TRUE,164456,We are the trade union and professional body for doctors and medical students in the UK.
845,Michelle Dewberry,MichelleDewbs,TRUE,142228,Mum. Hull Girl. Business. Coach. Author. Speaker. Presenter. Politics Debater. Election Candidate 2017/19. Insta: https://t.co/QDU4h0RFBY
562,Kelechi,kelechnekoff,TRUE,136974,@klchnkff_studio | @SayYourMindPod | #SallyInHR
1184,Aaron Bastani,AaronBastani,FALSE,111445,"Socialist abundance. Co-Founder @novaramedia, Author of Fully Automated Luxury Communism 🦾 Next book on politics of ageing 🧓🏽👵🏼 (He/Him) 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇮🇷"
552,igiriwM@ 🇰🇪,Mwirigi,TRUE,73025,"I Drive Cars & Talk About Them. I may or may not be notable. 

To support my Car content - Till Number (Buy Goods) 
592 012 1"
3351,Hany Ragy,Hragy,FALSE,60652,"Cardiologist, National Heart Institute, Egypt رجاء عدم التواصل بشأن شؤون طبية خاصة علي تويتر"
2973,Dripped Out Trade Unionists,UnionDrip,FALSE,60601,Unions for all - DM for submissions
780,Shailja Patel,shailjapatel,TRUE,59985,"Author of MIGRITUDE. Queer Kenyan whistleblower. Retweet, don't copypaste. She/her. DMs open. @guardianopinion @AJEnglish @BBCWorld @paythewriter"
2744,Saleemul Huq,SaleemulHuq,FALSE,57705,"Director, @ICCCAD and Senior Associate @IIED. Work on adaptation to climate change. Views presented are my own."
628,Saleemul Huq,SaleemulHuq,FALSE,57705,"Director, @ICCCAD and Senior Associate @IIED. Work on adaptation to climate change. Views presented are my own."
1093,Jonn Elledge,JonnElledge,TRUE,50534,"May or may not be notable. Working freelance in the copy mines for @newstatesman, @headlinepg, https://t.co/KpPfdFvJEC & so forth."
1173,Frances Ryan,DrFrancesRyan,TRUE,49687,Columnist and journalist @Guardian. Author of Crippled (out now) and Who Wants Normal? (2025) E: frances.ryan.freelance@guardian.co.uk
1642,Claire???,AliceAvizandum,FALSE,48855,the laugh sensation of two continents. @trashfuturepod/@wtyppod/@killjamesbond. she/her but they/them if you’re mad at me
1155,Alex Stewart,AFHStewart,TRUE,47314,he/him | Head of Content @AnalyticsFC | ex @TifoFootball_ | raccoon anarchist | everything is Lego | often spotted with @annaseriousface
2098,Alex Stewart,AFHStewart,TRUE,47314,he/him | Head of Content @AnalyticsFC | ex @TifoFootball_ | raccoon anarchist | everything is Lego | often spotted with @annaseriousface
3001,Roshana,RoshanaMN,TRUE,41363,Mum 👦🏽👦🏽| NHS Trauma & Orthopaedic Surgeon🧜🏽‍♀️(Eternal LTFT Registrar) | @theHWF Chairwoman | Zan Zendegi Azadi
1495,Chenchen Zhang 🤦🏻‍♀️,chenchenzh,FALSE,40966,teaches politics and IR @Durham_uni. co-editor @Geopolitics_Jl. co-host @shichapodcast. she/her. 不必等待炬火. chenchenzh@mastodon.online
1797,Laleh Khalili,LalehKhalili,FALSE,39011,"Ports. Politics. Poetry....  Professor of International Politics. Potty-mouth! ""Free typo/dropped word in every tweet"". She/her."
2175,Richie Brave,RichieBrave,TRUE,35908,BBC Presenter & Broadcaster. Host of Radio's biggest group chat #1XtraTalks LIVE on BBC @1Xtra Sunday 9-10pm! Enquiries: info@richiebrave.com - 🇬🇾🇮🇳🇲🇲
2505,Amina,yeahshewrites,TRUE,35895,Tech • #A11y • Vibes • Building @RecipeRated • Contact: AminaAweis1150@gmail.com
2508,La Wiphala de Osler 🇵🇪,chuletadeosler,FALSE,35655,"Ilustraciones y apuntes médicos originales | Autor: Augusto Saldaña M, especialista en MFyC | 🇵🇪🇪🇸🇬🇧 // En el Perú no hay democracia."
2388,Dalia Gebrial,daliagebrial,FALSE,35315,"PhD on race, work & digital economy @ LSE | bylines @guardian @thetimes @telegraph @independent @vice | dgebrial@gmail.com | rep: @emma_a_paterson"
2852,Britain People,Britain_People,FALSE,32265,Law┃Neuroscience┃#Rights #EU #FreeAssange┃UNITE┃Humanity┃Freedom. Truth. Justice ‖ Now_here ‖ Opinion┃RT ≠ Endorsement
945,dan barker,danbarker,TRUE,31986,"Worked for more than 100 companies doing various bits & bobs. Interested in marketing, ecommerce, media, data, politics, people, & more. Do follow & say hello."
725,🇺🇦 Dr Linda Dykes @DrLindaDykes@med-mastodon.com,DrLindaDykes,FALSE,29652,"UK EM Consultant/GP in the Interface Medicine Zone. Sweary when cross. Personal views, RT not endorsements. Likes 🐴🐕 🦆🐔. @DrLindaDykes@med-mastodon.com"
2228,Zack Ferguson,zackferguson,FALSE,28869,"Erstwhile Med Reg. Full Time Dad. Specialty Registrar in Acute Internal Medicine. Med Ed. If you’re here to check whether it’s a joke, it’s a joke. He/Him. ✡️"
1668,your favourite authors favourite book club,bg_bookclub,TRUE,28066,#BGBOOKCLUBPRESENTS GROWN:TheBlackGirlsGuidetoGlowingUp Award winning @mariahcarey @officialmelb approved @britishvogue featured book club
3387,Jackie Baillie,jackiebmsp,TRUE,27966,"MSP for Dumbarton, Scottish Labour Deputy Leader and Spokesperson for Health, Social Care and Equalities. Constituents email jackie.baillie.msp@parliament.scot"
690,shibley 🏴󠁧󠁢󠁳󠁣󠁴󠁿,dr_shibley,FALSE,27586,disabled; socialist; #meded; spec in dementia; @AmerDelirium SIG lead; honres fellow @UCL; QS MA PhD (Cam) MRCP (Lond) LLB(Hon) LLM MBA PGDiplLaw FHEA
